iter	Accuracy	MultiClass
0	0.2393703573	2.369223498
1	0.2415482317	2.351578061
2	0.2424849163	2.330316252
3	0.2434589751	2.311861512
4	0.2429687595	2.298258485
5	0.2437883086	2.283952069
6	0.2480263767	2.266923464
7	0.2477000923	2.259718965
8	0.2493819976	2.247672178
9	0.2549061654	2.236140372
10	0.2611132869	2.222588467
11	0.2630806049	2.21289287
12	0.2629868676	2.207157173
13	0.2679086615	2.200184202
14	0.2676135479	2.190633632
15	0.2709526359	2.182864621
16	0.2700157424	2.179593306
17	0.2744965819	2.169808526
18	0.2784198569	2.160488973
19	0.2769268213	2.151916024
20	0.2777552403	2.144123906
21	0.2790116549	2.137204942
22	0.278673098	2.132552521
23	0.2788616156	2.126451886
24	0.2791178157	2.120568352
25	0.2798939653	2.115092596
26	0.2824920274	2.109973895
27	0.2840125837	2.103534839
28	0.2870560117	2.097716927
29	0.2890939022	2.092379119
30	0.2919041613	2.089130262
31	0.2934825145	2.085725176
32	0.2945307432	2.080897377
33	0.2957904395	2.076381615
34	0.2966414452	2.073662094
35	0.2996744903	2.069083115
36	0.301486703	2.064652515
37	0.3020760414	2.062269809
38	0.3020683078	2.057879873
39	0.3025785427	2.052988992
40	0.3036817984	2.050461238
41	0.3064008344	2.04637523
42	0.3064304875	2.042433686
43	0.3077992216	2.040751503
44	0.307735544	2.038963785
45	0.308266386	2.037225941
46	0.3080478549	2.035412111
47	0.3082325383	2.034918394
48	0.3097821935	2.032615647
49	0.3096569734	2.03153277
50	0.3097022915	2.028590502
51	0.3124735498	2.026015773
52	0.3127052312	2.024465142
53	0.3127480182	2.023629489
54	0.313567987	2.021309589
55	0.3128988878	2.019059701
56	0.3138973404	2.017078184
57	0.3134869572	2.015999152
58	0.3151341063	2.013464314
59	0.3170378743	2.010896638
60	0.3173262925	2.008969893
61	0.3175125856	2.007478148
62	0.3187852442	2.005813904
63	0.3187944906	2.005813786
64	0.3199705495	2.002710024
65	0.3198169172	2.002564723
66	0.319838785	2.00222692
67	0.3198434566	2.002226833
68	0.3203938956	2.001012199
69	0.320740366	2.000124158
70	0.3212866633	1.998574251
