iter	Passed	Remaining
0	1974	985207
1	3026	753651
2	5457	904172
3	7931	983564
4	10368	1026513
5	12915	1063366
6	15019	1057793
7	15724	967077
8	18652	1017615
9	21377	1047481
10	23733	1055055
11	26471	1076521
12	28101	1052711
13	29864	1036709
14	32467	1049792
15	35174	1064028
16	35877	1019335
17	37848	1013499
18	40402	1022822
19	42746	1025914
20	45238	1031879
21	47957	1041989
22	50236	1041856
23	52744	1046108
24	55705	1058404
25	58668	1069571
26	61740	1081600
27	63724	1074208
28	66835	1085506
29	69675	1091575
30	72293	1093731
31	74617	1091287
32	77938	1102950
33	80279	1100300
34	82964	1102244
35	85133	1097275
36	87296	1092389
37	88943	1081367
38	91070	1076503
39	93396	1074064
40	95875	1073341
41	97985	1068510
42	100305	1066032
43	101927	1056337
44	104375	1055351
45	107058	1056622
46	109752	1057824
47	110953	1044810
48	112299	1033612
49	115479	1039319
50	118099	1039739
51	120009	1033931
52	123150	1038642
53	126391	1043903
54	128551	1040100
55	130820	1037223
56	133685	1038995
57	136093	1037125
58	138267	1033492
59	140834	1032787
60	143268	1031065
61	144718	1022365
62	146254	1014492
63	146554	998402
64	148602	994494
65	149276	981608
66	149813	968196
67	150082	953467
68	153091	956268
69	156123	959046
70	158590	958246
71	161374	959281
72	163561	956725
73	166869	960627
74	167568	949555
75	169867	947681
76	172683	948638
77	175368	948789
78	177178	944202
79	178889	939167
80	180989	936227
81	183715	936502
82	186844	938723
83	189118	936584
84	192158	938185
85	195350	940407
86	197511	937613
87	200394	938212
88	202705	936091
89	205567	936476
90	208025	934973
91	208282	923686
92	208522	912566
93	209129	903261
94	210290	896500
95	212498	894264
96	212773	883997
97	215824	885320
98	216060	875154
99	216650	866602
100	219690	867887
101	222435	867936
102	224479	865228
103	226900	863969
104	228639	860118
105	231458	860325
106	233983	859396
107	235935	856358
108	238739	856397
109	241393	855848
110	243645	853855
111	245556	850679
112	247120	846331
113	249877	846075
114	252617	845718
115	253775	840084
116	256502	839661
117	258573	837078
118	261578	837491
119	263708	835075
120	266402	834433
121	269338	834508
122	271540	832283
123	274233	831546
124	274865	824595
125	277783	824530
126	278330	817458
127	278550	809538
128	279427	803624
129	282053	802766
130	284636	801762
131	287326	801032
132	290507	801624
133	292371	798567
134	294767	796965
135	297106	795197
136	297586	788495
137	299505	785658
138	302195	784839
139	304610	783285
140	306745	781003
141	307346	774859
142	310245	774528
143	310509	767648
144	313194	766786
145	315346	764607
146	315927	758655
147	316950	753829
148	317431	747774
149	319923	746487
150	322886	746274
151	325596	745443
152	327455	742660
153	329262	739770
154	331606	738090
155	334195	736943
156	335247	732419
157	335821	726905
158	338025	724947
159	340135	722787
160	343037	722296
161	345227	720289
162	345860	715061
163	348079	713137
164	351102	712844
165	353333	710924
166	355939	709748
167	357920	707318
168	358936	703005
169	360501	699797
170	362844	698103
171	363429	693050
172	365159	690214
173	367504	688543
174	370093	687317
175	370677	682383
176	370906	676852
177	372355	673587
178	374795	672119
179	377080	670365
180	377554	665414
181	378941	662106
182	380147	658506
183	382702	657249
184	383284	652619
185	385707	651140
186	387917	649295
187	391042	648964
188	392996	646677
189	395185	644776
190	395423	639715
191	397331	637386
192	400404	636912
193	400911	632366
194	403478	631081
195	406096	629863
196	409184	629354
197	411385	627467
198	413251	625068
199	415580	623371
200	418339	622306
201	420958	621018
202	423646	619817
203	424197	615502
204	425601	612450
205	426542	608755
206	429587	608063
207	430648	604564
208	431662	601023
209	433952	599268
210	436495	597853
211	438749	596037
212	441330	594657
213	443744	593041
214	445650	590745
215	446190	586657
216	447787	583981
217	450748	583077
218	450973	578646
219	453480	577157
220	455995	575668
221	456222	571305
222	458958	570096
223	459183	565780
224	461217	563710
225	461795	559876
226	463611	557559
227	466316	556307
228	467784	553578
229	469525	551182
230	472197	549874
231	474058	547618
232	476787	546361
233	477012	542245
234	478086	539118
235	480431	537432
236	483174	536180
237	486203	535232
238	488414	533372
239	490795	531694
240	493471	530328
241	494064	526730
242	496833	525458
243	498956	523495
244	501345	521808
245	503792	520175
246	505737	518023
247	508466	516667
248	510641	514742
249	513277	513277
250	515528	511420
251	517356	509144
252	519486	507166
253	522521	506064
254	524922	504337
255	526599	501915
256	528280	499502
257	531146	498207
258	533078	496030
259	535798	494582
260	537747	492419
261	540237	490750
262	542684	489035
263	544606	486845
264	547247	485294
265	549734	483601
266	552874	482471
267	554963	480416
268	557719	478933
269	560263	477261
270	562898	475659
271	565505	474026
272	567340	471744
273	569604	469820
274	571643	467708
275	574359	466146
276	576858	464402
277	578731	462152
278	581193	460371
279	583051	458112
280	584858	455815
281	587223	453953
282	589594	452091
283	591147	449605
284	593819	447968
285	595819	445822
286	598379	444093
287	600498	442033
288	602460	439858
289	605699	438610
290	608247	436851
291	609970	434499
292	612715	432873
293	615845	431510
294	617496	429107
295	620134	427389
296	622466	425457
297	624537	423344
298	627230	421649
299	630028	420018
300	631943	417796
301	634347	415896
302	637171	414266
303	639851	412535
304	642754	410941
305	644585	408658
306	646841	406646
307	648567	404302
308	650877	402322
309	652768	400084
310	654640	397835
311	657314	396074
312	659365	393934
313	661669	391944
314	663975	389953
315	666084	387846
316	668085	385676
317	670802	383918
318	672772	381730
319	675116	379753
320	677788	377956
321	680376	376108
322	683308	374444
323	684942	372067
324	687453	370167
325	690432	368512
326	693395	366842
327	696402	365186
328	699273	363452
329	701928	361599
330	704394	359645
331	706392	357451
332	708411	355269
333	710669	353207
334	713281	351317
335	715286	349127
336	717942	347254
337	720302	345233
338	722366	343070
339	725136	341240
340	727113	339035
341	729748	337135
342	732512	335290
343	735143	333379
344	738355	331725
345	740479	329577
346	742614	327435
347	744831	325328
348	746944	323176
349	749353	321151
350	751785	319134
351	754360	317174
352	756936	315211
353	759101	313075
354	760947	310809
355	763180	308702
356	765756	306731
357	767673	304496
358	769983	302416
359	772881	300564
360	774727	298302
361	777056	296226
362	779262	294101
363	782184	292244
364	784327	290093
365	787187	288205
366	789415	286082
367	791888	284047
368	794441	282037
369	797224	280105
370	799854	278116
371	801975	275948
372	803873	273705
373	806407	271677
374	809499	269833
375	811744	267703
376	814180	265634
377	817006	263690
378	818877	261435
379	820976	259255
380	822905	257022
381	825854	255106
382	828574	253115
383	830453	250866
384	832773	248750
385	834923	246583
